<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;D;26/07/18;000000;4400.0000000;4421.0000000;4387.5000000;4420.0000000;526279
LKOH;D;27/07/18;000000;4417.5000000;4426.0000000;4383.0000000;4425.0000000;359005
LKOH;D;30/07/18;000000;4400.5000000;4430.0000000;4370.5000000;4410.0000000;443180
LKOH;D;31/07/18;000000;4400.5000000;4488.0000000;4377.5000000;4451.5000000;803941
LKOH;D;01/08/18;000000;4460.0000000;4509.0000000;4454.5000000;4494.0000000;512006
LKOH;D;02/08/18;000000;4483.0000000;4527.0000000;4478.0000000;4501.5000000;442819
LKOH;D;03/08/18;000000;4485.5000000;4529.0000000;4467.5000000;4499.5000000;479732
LKOH;D;06/08/18;000000;4501.5000000;4517.0000000;4450.0000000;4479.0000000;410159
LKOH;D;07/08/18;000000;4479.0000000;4539.0000000;4472.0000000;4520.0000000;428156
LKOH;D;08/08/18;000000;4520.0000000;4525.0000000;4448.0000000;4499.0000000;536679
LKOH;D;09/08/18;000000;4490.0000000;4598.0000000;4490.0000000;4598.0000000;700909
LKOH;D;10/08/18;000000;4591.0000000;4648.0000000;4546.0000000;4577.0000000;669231
LKOH;D;13/08/18;000000;4551.0000000;4601.5000000;4521.5000000;4541.0000000;728252
LKOH;D;14/08/18;000000;4560.0000000;4579.0000000;4452.5000000;4460.0000000;754314
LKOH;D;15/08/18;000000;4454.0000000;4465.0000000;4361.5000000;4428.5000000;885542
LKOH;D;16/08/18;000000;4428.5000000;4440.0000000;4351.5000000;4396.0000000;435443
LKOH;D;17/08/18;000000;4388.0000000;4418.0000000;4358.0000000;4375.0000000;435001
LKOH;D;20/08/18;000000;4395.0000000;4425.0000000;4370.0000000;4386.0000000;268771
LKOH;D;21/08/18;000000;4393.5000000;4466.5000000;4353.0000000;4465.0000000;511213
LKOH;D;22/08/18;000000;4472.0000000;4512.5000000;4449.0000000;4512.5000000;507659
LKOH;D;23/08/18;000000;4512.5000000;4541.0000000;4421.0000000;4450.0000000;656188
LKOH;D;24/08/18;000000;4450.0000000;4531.5000000;4423.0000000;4500.5000000;629340
LKOH;D;27/08/18;000000;4502.0000000;4577.0000000;4492.0000000;4577.0000000;249895
LKOH;D;28/08/18;000000;4581.0000000;4598.0000000;4545.0000000;4587.5000000;405312
LKOH;D;29/08/18;000000;4590.0000000;4687.5000000;4585.0000000;4638.5000000;640827
LKOH;D;30/08/18;000000;4653.0000000;4738.0000000;4640.5000000;4702.0000000;687408
LKOH;D;31/08/18;000000;4695.0000000;4719.5000000;4663.0000000;4700.5000000;711447
LKOH;D;03/09/18;000000;4690.5000000;4749.0000000;4685.5000000;4728.0000000;287151
LKOH;D;04/09/18;000000;4746.5000000;4762.5000000;4704.5000000;4717.0000000;351573
LKOH;D;05/09/18;000000;4704.0000000;4710.5000000;4637.0000000;4637.0000000;528439
LKOH;D;06/09/18;000000;4630.0000000;4650.0000000;4594.0000000;4610.5000000;581661
LKOH;D;07/09/18;000000;4622.0000000;4649.0000000;4547.0000000;4623.0000000;603367
LKOH;D;10/09/18;000000;4643.0000000;4715.0000000;4643.0000000;4688.5000000;410618
LKOH;D;11/09/18;000000;4677.0000000;4746.5000000;4665.5000000;4706.5000000;766121
LKOH;D;12/09/18;000000;4706.0000000;4744.5000000;4622.5000000;4622.5000000;586148
LKOH;D;13/09/18;000000;4622.5000000;4688.5000000;4608.0000000;4659.0000000;586466
LKOH;D;14/09/18;000000;4650.0000000;4670.0000000;4603.0000000;4604.0000000;441501
LKOH;D;17/09/18;000000;4607.0000000;4643.0000000;4572.0000000;4631.0000000;454145
LKOH;D;18/09/18;000000;4630.0000000;4697.0000000;4601.5000000;4685.0000000;698648
LKOH;D;19/09/18;000000;4692.0000000;4726.5000000;4673.5000000;4719.0000000;609368
LKOH;D;20/09/18;000000;4709.5000000;4735.0000000;4676.5000000;4701.0000000;1675912
LKOH;D;21/09/18;000000;4695.0000000;4755.0000000;4678.5000000;4737.5000000;1411674
LKOH;D;24/09/18;000000;4746.0000000;4798.0000000;4724.5000000;4780.0000000;614783
LKOH;D;25/09/18;000000;4797.5000000;4900.0000000;4780.0000000;4900.0000000;720923
LKOH;D;26/09/18;000000;4895.5000000;4908.5000000;4777.0000000;4828.5000000;933935
LKOH;D;27/09/18;000000;4821.0000000;4952.5000000;4813.0000000;4952.0000000;1132248
LKOH;D;28/09/18;000000;4945.0000000;5042.5000000;4930.5000000;5022.0000000;761228
LKOH;D;01/10/18;000000;5045.0000000;5115.0000000;4980.0000000;5016.0000000;944424
LKOH;D;02/10/18;000000;5035.0000000;5037.5000000;4877.0000000;4898.5000000;842097
LKOH;D;03/10/18;000000;4912.5000000;5055.0000000;4905.0000000;5035.0000000;1026867
LKOH;D;04/10/18;000000;5022.5000000;5035.0000000;4956.0000000;4990.0000000;804072
LKOH;D;05/10/18;000000;4983.0000000;5043.5000000;4962.5000000;4987.0000000;503045
LKOH;D;08/10/18;000000;4982.5000000;5015.0000000;4941.5000000;4966.0000000;381816
LKOH;D;09/10/18;000000;4981.5000000;5031.0000000;4970.5000000;4971.5000000;436439
LKOH;D;10/10/18;000000;4993.0000000;4993.5000000;4901.5000000;4901.5000000;393776
LKOH;D;11/10/18;000000;4840.0000000;4883.0000000;4770.5000000;4804.0000000;945898
LKOH;D;12/10/18;000000;4850.0000000;4880.5000000;4806.0000000;4806.0000000;477708
LKOH;D;15/10/18;000000;4837.0000000;4837.0000000;4733.0000000;4747.0000000;435021
LKOH;D;16/10/18;000000;4755.0000000;4797.0000000;4721.5000000;4795.0000000;467828
LKOH;D;17/10/18;000000;4819.0000000;4832.5000000;4732.0000000;4773.0000000;394493
LKOH;D;18/10/18;000000;4760.0000000;4770.0000000;4682.0000000;4694.5000000;457530
LKOH;D;19/10/18;000000;4700.0000000;4750.0000000;4665.5000000;4693.0000000;660853
LKOH;D;22/10/18;000000;4706.0000000;4725.0000000;4635.5000000;4673.5000000;383618
LKOH;D;23/10/18;000000;4692.5000000;4896.0000000;4692.5000000;4770.0000000;2788433
LKOH;D;24/10/18;000000;4824.0000000;4995.0000000;4798.0000000;4995.0000000;6610685
LKOH;D;25/10/18;000000;4940.0000000;4968.0000000;4886.0000000;4943.0000000;1786287
LKOH;D;26/10/18;000000;4921.0000000;4924.5000000;4806.0000000;4888.5000000;1084957
LKOH;D;29/10/18;000000;4885.0000000;4926.5000000;4856.0000000;4872.5000000;623901
LKOH;D;30/10/18;000000;4840.5000000;4855.0000000;4726.0000000;4778.5000000;839558
LKOH;D;31/10/18;000000;4801.0000000;4946.0000000;4801.0000000;4945.0000000;798685
LKOH;D;01/11/18;000000;4907.5000000;5004.0000000;4861.5000000;4937.0000000;694601
LKOH;D;02/11/18;000000;4948.0000000;5004.5000000;4910.0000000;4980.0000000;895397
LKOH;D;06/11/18;000000;4988.5000000;5083.0000000;4976.0000000;5055.0000000;908838
LKOH;D;07/11/18;000000;5051.0000000;5174.5000000;5016.0000000;5174.5000000;732491
LKOH;D;08/11/18;000000;5176.5000000;5192.5000000;5130.0000000;5160.0000000;588711
LKOH;D;09/11/18;000000;5136.0000000;5147.5000000;4996.5000000;5094.5000000;895836
LKOH;D;12/11/18;000000;5102.0000000;5191.0000000;5102.0000000;5129.0000000;513438
LKOH;D;13/11/18;000000;5116.5000000;5126.5000000;4941.0000000;4959.5000000;1246101
LKOH;D;14/11/18;000000;4922.5000000;4933.0000000;4831.5000000;4856.5000000;963420
LKOH;D;15/11/18;000000;4864.5000000;4914.0000000;4835.0000000;4854.0000000;568798
LKOH;D;16/11/18;000000;4860.0000000;4915.0000000;4813.0000000;4824.0000000;655020
LKOH;D;19/11/18;000000;4850.0000000;4912.0000000;4820.0000000;4845.5000000;593220
LKOH;D;20/11/18;000000;4830.0000000;4830.0000000;4743.0000000;4809.5000000;620100
LKOH;D;21/11/18;000000;4790.0000000;4835.0000000;4766.0000000;4800.0000000;632050
LKOH;D;22/11/18;000000;4799.0000000;4819.0000000;4755.0000000;4813.5000000;434836
LKOH;D;23/11/18;000000;4799.5000000;4800.0000000;4624.5000000;4670.0000000;1187806
LKOH;D;26/11/18;000000;4697.0000000;4699.5000000;4555.0000000;4623.0000000;1163846
LKOH;D;27/11/18;000000;4632.0000000;4703.0000000;4609.0000000;4689.0000000;1042279
LKOH;D;28/11/18;000000;4697.0000000;4758.0000000;4655.5000000;4717.5000000;777732
LKOH;D;29/11/18;000000;4729.5000000;4796.0000000;4659.0000000;4766.0000000;1277628
LKOH;D;30/11/18;000000;4773.0000000;4900.0000000;4765.0000000;4896.0000000;1412279
LKOH;D;03/12/18;000000;4993.5000000;5098.5000000;4952.0000000;5098.5000000;1396559
LKOH;D;04/12/18;000000;5099.0000000;5221.0000000;5030.0000000;5209.0000000;1267829
LKOH;D;05/12/18;000000;5158.5000000;5260.0000000;5129.5000000;5260.0000000;940566
LKOH;D;06/12/18;000000;5220.0000000;5325.0000000;5084.0000000;5162.5000000;1361525
LKOH;D;07/12/18;000000;5170.0000000;5321.5000000;5103.0000000;5266.5000000;1470542
LKOH;D;10/12/18;000000;5248.5000000;5342.0000000;5149.0000000;5173.5000000;1072534
LKOH;D;11/12/18;000000;5162.5000000;5289.5000000;5114.0000000;5267.0000000;884565
LKOH;D;12/12/18;000000;5250.0000000;5270.0000000;5102.0000000;5102.0000000;830557
LKOH;D;13/12/18;000000;5106.0000000;5156.0000000;5040.5000000;5131.5000000;901654
LKOH;D;14/12/18;000000;5116.5000000;5141.5000000;5079.0000000;5100.0000000;733967
LKOH;D;17/12/18;000000;5091.0000000;5137.5000000;5071.0000000;5100.0000000;629913
LKOH;D;18/12/18;000000;5049.0000000;5049.5000000;4900.0000000;4925.0000000;1405169
LKOH;D;19/12/18;000000;4890.0000000;4928.5000000;4865.0000000;4910.0000000;933898
LKOH;D;20/12/18;000000;4828.0000000;4838.5000000;4716.5000000;4808.5000000;1554653
LKOH;D;21/12/18;000000;4789.5000000;4954.0000000;4745.0000000;4930.0000000;2281956
LKOH;D;24/12/18;000000;4899.0000000;4966.0000000;4842.5000000;4909.0000000;621647
LKOH;D;25/12/18;000000;4842.0000000;4842.5000000;4744.5000000;4810.0000000;268289
LKOH;D;26/12/18;000000;4829.0000000;4859.0000000;4803.0000000;4829.5000000;182431
