Номер	Банк	Рег. Номер	Реутеры	Филиалы	Город	Количество рабочих	Сумма активов	Собственные активы	Банковские активы	Депозиты физ. лиц	Депозиты Юр. лиц	Привил. ресурсы	Ссуда, руб.	Ссуда, долл.	Средства в Банке	Межфилиальные средства	Бюджет	Прибыль	Карты	Гос. облигации	Средства ДУ
37	"АКБ ""БИН"""		BINB	5	Москва	807	6160046	739890	5824773	480583	90468	56140	768903	1296626	876788	293219	0	81122	47575	0	0
38	"ОАО ""Меткомбанк"""	901	-	6	Череповец	675	4879981	329236	4248641	816749	2866829	61079	619512	325646	2012002	601299	0	48249	98776	11620	0
39	"ЗАО АБ ""Капитал"""	575	-	3	Нижневартовск	184	4568332	230101	3579674	245726	3232350	461	85299	9824	400875	963756	0	61528	39807	0	0
40	Балтийский Банк	128	BALT	9	Санкт-Петербург	1200	4134372	268751	3359926	844787	1274835	296011	1344162	586888	470731	722725	0	65889	264080	13957	54
41	"АКБ ""Югбанк"""	457	YUGB	18	Краснодар	1017	4120333	140846	2598064	231415	261123	5510	857030	32013	677731	1502410	51	26991	17824	64706	0
42	"АБ ""ИБО""НИКОЙЛ"""	409	NKOL	5	Москва	0	3838123	666703	2804599	357865	651363	652573	512038	540473	6362	996007	0	47143	15878	195219	0
43	"ЗАО ""Нижегородпромстройбанк"""	1851	NPSH	26	Нижний Новгород	1110	3735969	789338	2798278	396091	144312	57500	1724772	148513	145675	806313	133	164187	91586	22939	0
44	"КБ ""Красбанк"""	1569	KRAS	0	Москва	99	3603849	140609	217075	661	9000	194537	95425	0	440296	0	0	997	0	520	0
45	"АКБ ""Приупскбанк"""	1203	-	8	Тула	287	3541637	71693	181456	30337	3718	2000	85919	0	5642	1661913	0	1153	0	102	0
46	"АКБ ""Пробизнесбанк"""	2412	-	0	Москва	542	3481038	784577	2402092	157338	1483832	665720	901486	723738	1292998	0	1968	6308	11047	0	0
47	Вест ЛБ Восток	3224	WLBA	0	Москва	86	3417928	609375	3398459	6554	537992	1416179	0	1026136	0	0	0	119340	0	66064	0
48	"ЗАО ""Международный акционерный Банк"""	1987	MABM	1	Москва	143	3381733	357083	3365156	222925	2580068	90278	625655	633158	967892	3398	0	25178	0	463597	0
49	"КБ ""Русский генеральный банк"""	2814	RUGB	0	Москва	197	3351413	502505	3333821	20761	2400771	30518	637509	398206	753750	0	0	22459	0	339075	0
50	"АКБ ""МФК"""	2864	ISCM	0	Москва	146	3346237	1204941	3184388	54970	134765	456849	734712	445577	235949	0	0	32600	10036	96322	0
51	"КБ ""Олимпийский"""	1625	-	1	Москва	213	3170956	1216732	3163933	117654	415832	71997	739137	273863	1133884	949	0	6613	27570	0	0
52	"ОАО ""Международный банк Санкт - Петербург"""	197	PLBR	1	Санкт-Петербург	252	3139712	249190	3013127	200943	1838091	683437	721788	556463	353112	111922	0	13912	2400	155287	0
53	"ОАО ""Инкасбанк"""	2685	-	8	Санкт-Петербург	712	3024579	331051	2885567	111782	1935084	345853	1803525	69334	495960	120291	0	7584	32038	3542	144
54	"КБ ""Легпромбанк"	1728	LPRB	0	Москва	122	3021143	1450421	2929932	39622	0	0	2291967	46764	52346	0	0	21083	205	54	0
55	"АКБ ""ГАЗБАНК"""	2316	GAZB	7	Самара	541	3008408	302715	2646762	157345	1950014	190034	1436716	99411	237551	348706	0	14081	12832	31040	100933
56	"АКБ ""АЛЕФ-БАНК"""	2119	ALEF	0	Москва	65	2994644	423844	1074041	53150	1514379	708340	941756	44161	29088	0	0	16922	171	546	0
57	"ОАО КБ ""Солидарность"""	554	SOLD	7	Самара	607	2927714	209409	2569185	206322	1672444	116529	967232	146007	319268	280035	51311	32603	2212	165419	0
58	"АКБ ""ИНТЕРПРОМБАНК"""	3266	IPBM	1	Москва	221	2691874	288063	2596142	54407	149496	1234166	146083	331795	158982	76762	0	9637	5633	1379153	0
59	"АКБ ""Металлинвестбанк"""	2440	MEIN	2	Москва	272	2649453	408386	2007521	146779	166863	660389	1324444	212791	494121	22252	0	13807	4563	6618	47
60	"ОАО КБ ""Далькомбанк"""	84	-	11	Хабаровск	603	2625776	169803	2196948	170834	409395	140000	918882	161573	312573	289287	89130	77817	28575	26250	0
61	"КБИнтурбанк"""	1328	IBRF	5	Москва	402	2590835	685006	1369933	122841	314529	104073	813406	258725	47248	1210366	5506	6092	2310	2132	0
62	"АКБ ""Межрегиональный инвестиционный банк"""	2788	IRIB	2	Москва	209	2589355	814636	2328399	36904	112280	285815	414728	1091146	144115	28963	0	13417	8258	868	72
63	Уралвнешторгбанк	1522	-	0	Екатеринбург	488	2573907	117258	2073443	565966	475056	339257	368038	199325	417488	0	20799	75944	617327	0	0
64	"ОАО КБ ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК"""	1978	MCRB	0	Москва	551	2571278	617162	2567898	95554	1068386	267861	435388	255725	857835	0	0	4518	3514	43531	0
65	"Банк ""Авангард"""	2879	AVNG	5	Москва	550	2560051	836620	2318671	65858	6265	0	1097953	392227	88391	231928	0	13202	15390	1565	0
66	Промторгбанк	1961	TOPR	4	Москва	262	2555697	354812	2364194	40090	249332	60979	1135171	115159	386095	10083	0	7592	17646	20254	553262
67	"КБ ""ВИЗАВИ"""	3013	-	0	Москва	155	2493992	1535113	2493167	37670	0	781019	90915	93968	1580337	0	0	670	506	272	0
68	КУБ ОАО	2584	MCUB	1	Магнитогорск	178	2485820	414721	2389431	219312	128997	0	665002	46147	837810	0	0	276897	191368	0	0
69	"ООО КБ ""ЕВРОТРАСТ"""	2968	-	0	Москва	241	2413941	562653	2401145	65806	782090	477070	719028	133323	813065	0	0	25082	0	137950	0
70	"АКБ ""Тольяттихимбанк"""	2507	TIHB	2	Тольятти	250	2408253	221196	2085682	166366	67044	28070	745357	134660	119827	292004	0	87493	12610	113369	0
71	МНБ Лтд	3268	MNBM	0	Москва	129	2326185	745298	2126985	103938	170753	982528	0	1074542	350330	0	0	0	59071	205151	0
72	"ОАО ""Сибнефтебанк"""	385	-	2	Тюмень	134	2175311	72984	649271	26204	153763	1815619	98222	1770088	39167	4245	0	1947	263	0	0
73	"ОАО АКБ ""Югра"""	880	JGRB	5	Мегион	570	2170476	194311	1715287	600104	476823	41157	501074	322762	355416	446259	0	9514	106971	263	0
74	СКБ БАНК	705	SKBA	22	Екатеринбург	1080	2163939	0	1196313	167033	18555	0	343325	40716	357250	851084	100	4846	13472	35139	0
75	"АКБ ""ВЕКСИМ БАНК"""	3273	-	0	Москва	40	2118559	123497	2111697	0	132815	1736978	2674	223682	1634809	0	0	4411	0	0	0
